발생원인_기타,피해면적_합계,화재시간,latitude ,longitude,기온,풍속,습도,강수량,임목존재코드,임종코드,임상코드,수종그룹코드,ta,ws,hm,pa,pv,td,ts,dc10Tca,dc10LmcsCa,시도,시군구,읍면동리,피해금액
767,0.009950330853168,0.0,37.54445,127.00885555555556,23.9,18.7,43.0,0.03,1.0,2.0,2.0,30.0,24.2,0.8,53.0,1008.9,16.0,14.0,21.5,0.0,0.0,서울,중,장충2가,4082193
201,0.0295588022415443,2.0,37.36846944444444,127.27747222222222,22.8,11.2,44.0,0.0,1.0,2.0,2.0,30.0,27.6,2.7,42.0,1008.9,15.5,13.5,45.4,9.0,0.0,경기,광주,초월,5229485
715,0.2311117209633866,5.0,35.22983055555556,129.1035361111111,17.5,23.0,75.0,0.93,1.0,2.0,1.0,15.0,17.5,1.4,77.0,1002.4,15.4,13.4,18.0,6.0,2.0,부산,금정,장전,17022346
280,0.048790164169432,6.0,37.413938888888886,127.01341666666669,20.8,17.3,45.0,0.01,1.0,2.0,1.0,11.0,19.7,1.1,58.0,997.3,13.2,11.1,31.0,0.0,0.0,경기,과천,과천,6354712
118,0.688134638736401,3.0,37.63923333333333,127.04671944444443,20.1,20.2,59.0,2.59,1.0,2.0,2.0,30.0,25.4,2.7,30.0,996.0,9.7,6.5,51.4,2.0,2.0,경기,파주,탄현,51762757
715,0.009950330853168,2.0,36.02424166666667,128.28999444444443,21.8,14.0,55.0,0.23,1.0,2.0,2.0,34.0,21.0,4.1,55.0,1003.9,13.7,11.6,25.6,8.0,5.0,경북,성주,초전,4082193
361,0.2231435513142097,3.0,37.69822222222222,127.46781388888888,17.8,6.8,50.0,0.0,1.0,2.0,2.0,34.0,10.3,0.7,79.0,925.9,9.9,6.8,11.6,10.0,7.0,경기,가평,설악,16556129
885,0.262364264467491,2.0,36.07069166666667,129.395975,16.2,30.6,69.0,0.31,1.0,2.0,2.0,30.0,23.0,3.3,41.0,997.2,11.5,9.0,43.3,8.0,8.0,경북,포항,북,18850933
101,0.009950330853168,1.0,37.358719444444446,126.9054888888889,21.3,16.9,63.0,0.0,1.0,2.0,2.0,32.0,21.1,1.1,68.0,1003.4,16.9,14.9,27.3,8.0,8.0,경기,군포,속달,4082193
771,0.0769610411361283,3.0,37.18833333333333,129.29174166666667,15.5,26.3,75.0,0.11,1.0,2.0,2.0,30.0,12.1,2.0,73.0,927.0,10.2,7.3,18.0,9.0,9.0,강원,삼척,원덕,8002990
371,0.4054651081081644,4.0,34.97788333333334,127.084975,19.8,12.6,64.0,0.0,1.0,2.0,1.0,11.0,28.3,1.0,35.0,1004.1,13.4,11.3,55.6,0.0,0.0,전남,화순,사평,31223763
482,0.0295588022415443,3.0,36.36046111111112,128.25419166666666,19.9,18.0,62.0,0.0,1.0,2.0,1.0,11.0,26.5,2.6,38.0,1002.7,13.1,11.0,23.7,0.0,0.0,경북,상주,낙동,5229485
767,0.1222176327242492,1.0,37.32246388888889,126.85224166666666,20.2,16.9,53.0,0.0,1.0,2.0,2.0,34.0,24.1,2.9,49.0,1006.1,14.7,12.7,28.8,1.0,0.0,경기,안산,상록,10650953
845,0.0295588022415443,2.0,35.48874444444444,129.294925,18.9,13.3,59.0,0.0,1.0,2.0,1.0,15.0,25.1,1.0,39.0,1005.1,12.4,10.1,31.2,0.0,0.0,울산,울주,청량,5229485
793,0.009950330853168,0.0,35.84088333333334,128.55847222222224,18.6,8.3,55.0,0.0,1.0,2.0,3.0,77.0,29.2,3.6,18.0,1008.0,7.3,2.4,46.6,0.0,0.0,대구,남,대명,4082193
767,0.9001613499442713,8.0,37.82164722222223,128.10269444444444,18.6,10.8,47.0,0.0,1.0,2.0,1.0,11.0,21.1,1.1,50.0,1008.4,12.4,10.2,26.6,0.0,1.2687422166874225,강원,홍천,내촌,68168440
715,0.2468600779315258,7.0,37.53899444444444,126.86065,20.8,18.7,31.0,0.0,1.0,1.0,2.0,49.0,15.0,1.4,63.0,1006.4,10.7,8.0,10.9,0.0,0.0,서울,양천,신정,17943783
793,0.0198026272961797,1.0,36.83124444444445,129.01655277777778,17.4,6.5,51.0,0.0,1.0,2.0,2.0,33.0,22.4,1.7,39.0,1012.2,10.5,7.7,41.3,0.0,0.0,경북,봉화,재산,4658651
